Code,Country
223,Mali
233,Ghana
31,Netherlands
32,Belgium
33,France
34,Spain
39,Italy
41,Switzerland
44,United Kingdom
48,Poland
49,Germany
506,Costa Rica
507,Panama
51,Peru
52,Mexico
55,Brazil
56,Chile
57,Colombia
593,Ecuador
65,Singapore
90,Turkey
91,India
92,Pakistan
966,Saudi Arabia
971,United Arab Emirates
974,Qatar
201,United States
203,United States
206,United States
214,United States
219,United States
236,United States
248,United States
254,United States
305,United States
314,United States
315,United States
347,United States
407,United States
408,United States
415,United States
419,United States
425,United States
437,United States
438,United States
440,United States
469,United States
610,United States
510,United States
513,United States
520,United States
561,United States
571,United States
609,United States
617,United States
619,United States
630,United States
646,United States
647,United States
650,United States
703,United States
704,United States
732,United States
734,United States
757,United States
763,United States
770,United States
781,United States
847,United States
857,United States
858,United States
859,United States
864,United States
904,United States
908,United States
909,United States
912,United States
913,United States
914,United States
925,United States
949,United States
