,order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,charge,revenue
0,1477147,337525,Hangawi,Korean,30.75,Weekend,Not given,25,20,0.25,7.6875
1,1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,Not given,25,23,0.15,1.8119999999999998
2,1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,0.15,1.8345
3,1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,0.25,7.3
4,1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,0.15,1.7385
5,1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,0.25,6.305
6,1477894,157711,The Meatball Shop,Italian,6.07,Weekend,Not given,28,21,0.15,0.9105
7,1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,0.15,0.8955
8,1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,0.15,2.466
9,1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26,0.15,1.077
10,1477895,143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,Not given,34,28,0.15,0.888
11,1478437,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22,0.15,1.2149999999999999
12,1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,0.25,6.075
13,1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,0.15,1.695
14,1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,Not given,23,30,0.15,1.8195000000000001
15,1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,0.15,2.4299999999999997
16,1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16,0.15,2.547
17,1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,Not given,21,22,0.25,8.2575
18,1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,0.15,2.118
19,1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,0.15,2.4299999999999997
20,1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,0.25,6.05
21,1478226,137565,Shake Shack,American,15.91,Weekend,Not given,25,20,0.15,2.3865
